TERRITORY_ID,NUTS2_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_edu_2000,ln_edu_2001,ln_edu_2002,ln_edu_2003,ln_edu_2004,ln_edu_2005,ln_edu_2006,ln_edu_2007,ln_edu_2008,ln_edu_2009,ln_edu_2010,ln_edu_2011,ln_edu_2012,ln_edu_2013,ln_edu_2014,ln_edu_2015,ln_edu_2016,ln_edu_2017,ln_edu_2018,ln_edu_2019,ln_edu_2020,ln_edu_2021,ln_edu_2022
RS110,RS11,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,33.3,34.3,33.9,36.2,37.4,38.4,38.3,40.3,42.7,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.4468,3.5056,3.5351,3.5234,3.5891,3.6217,3.6481,3.6454,3.6964,3.7542
RS121,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS122,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS123,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS124,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS125,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS126,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS127,RS12,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,18.7,18.3,19.9,19.8,20.3,20.3,20.2,21.9,21.4,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.9285,2.9069,2.9907,2.9857,3.0106,3.0106,3.0057,3.0865,3.0634
RS211,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS212,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
