VERSIONS,LEVEL_ID,TERRITORY_ID,NAME_HTML,UNIT,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
2021,3,AT313,Mühlviertel,EUR2015,15142.27,15139.81,14993.14,15296.99,14945.08,15737.63,15263.27,15321.85,16042.11,16764.45,17276.17,17681.12,17683.97,17107.92,17540.12,16323.23,16726.4,17144.4,17902.99,18723.08,19267.19,19469.03,19419.76,19433.09,20171.39,20248.54,21066.7,22173.55,22968.91,22748.07,22347.46,23642.64,24689.58,25335.26,25676.23,25673.87,26464.67,27196.28,27672.94,27616.57,26100.37,28496.82,29264.65,28547.59,28250.79,28460.85,28835.63
2021,3,AT314,Steyr-Kirchdorf,EUR2015,17817.47,18246.48,18484.71,19294.18,19282.31,20763.02,20590.43,21142.66,22626.49,24161.96,25456.11,26586.2,27129.49,26772.47,27989.53,26422.67,27158.88,28527.96,30708.75,32736.76,34514.87,35063.91,35340.86,35739.21,36923.38,38632.89,40090.64,40800.81,41481.77,37329.8,39808.83,40710.87,42200.99,42371.41,42969.47,42312.0,43030.24,42448.62,42634.12,41860.7,39375.48,41544.17,42744.65,41720.9,41286.92,41593.85,42141.62
2021,3,AT315,Traunviertel,EUR2015,19977.74,20215.57,20229.24,20834.0,20546.23,21830.49,21345.15,21599.17,22783.26,23967.43,24863.58,25611.37,25789.32,25114.12,25904.14,24495.18,25425.0,26482.11,27728.36,28780.86,30625.87,30465.84,31221.44,31062.64,31296.38,33397.39,33990.57,35755.34,35577.25,33546.92,33581.27,36054.27,35438.22,35703.39,36049.86,35703.83,36862.88,37445.41,38830.25,39456.28,36229.24,37155.61,38111.26,37169.68,36783.29,37057.03,37545.24
2021,3,AT321,Lungau,EUR2015,16358.64,16283.0,16750.29,17313.43,17317.55,17606.4,18254.99,18484.68,19229.63,19978.29,20664.39,21556.34,22385.29,22290.54,22810.3,21758.2,22781.56,23675.49,24995.32,25071.43,25539.59,24859.42,26283.56,26458.63,25656.9,26747.16,27687.56,28630.53,29326.97,29956.94,30718.74,30991.34,31888.89,32303.95,32293.8,32374.21,33020.99,34090.24,36669.95,35177.51,31804.66,30431.98,33052.52,31734.8,31406.77,31639.73,32057.65
2021,3,AT322,Pinzgau-Pongau,EUR2015,22407.12,22258.31,22779.69,23435.67,23299.51,23630.87,24383.46,24548.89,25369.28,26207.41,26909.52,27901.5,28798.38,28462.85,28917.6,26915.3,27741.36,28645.44,29591.17,30602.17,32140.2,31861.41,32535.99,33310.91,33725.62,35097.87,36455.91,38457.81,38768.37,37625.39,38393.94,39480.74,39457.3,39883.66,39713.31,39853.34,41394.43,42287.77,43388.36,43534.44,39590.38,36011.54,39090.68,37586.93,37196.17,37473.04,37966.39
2021,3,AT323,Salzburg und Umgebung,EUR2015,29315.87,29095.96,29732.86,30550.01,30324.26,30701.18,31619.29,31768.17,32770.6,33773.62,34605.19,35885.75,37133.4,36779.75,37446.41,35455.71,36487.67,38043.27,39390.46,40803.11,43144.41,43419.11,44084.81,44620.88,46923.81,47207.83,49083.77,51356.55,51004.55,48700.96,50811.07,52072.23,52707.1,51251.07,50993.72,51517.03,52065.49,53032.96,53233.28,53984.78,50927.88,53987.56,58705.77,56477.54,55890.13,56305.79,57047.32
2021,3,AT331,Außerfern,EUR2015,24881.65,24895.18,25220.48,25558.65,25599.02,26189.45,26509.0,26911.29,27327.83,28215.32,29300.36,30668.72,31726.95,31181.42,31419.55,28991.49,29038.39,30760.23,32790.54,33866.2,36080.83,39013.79,38943.71,39438.13,39631.15,42961.56,45552.76,46397.11,45689.11,43544.82,38730.61,45101.33,46640.3,45023.67,45634.07,46721.05,45301.06,44993.84,46646.21,46359.19,40610.39,40259.51,43646.47,43560.68,43106.61,43426.32,43998.8
2021,3,AT332,Innsbruck,EUR2015,26223.94,26164.95,26493.07,26850.01,26855.2,27441.14,27762.96,28118.15,28527.4,29411.07,30516.4,31968.75,33213.65,32768.86,33192.43,32282.1,33127.94,34425.78,35918.66,37425.4,40327.64,41113.87,41660.71,41930.07,42183.21,43385.72,44137.43,45010.76,44572.79,42601.39,42867.28,43406.96,43760.45,43260.97,42623.5,42617.41,42462.84,42769.56,43455.99,44002.89,40151.24,41972.51,45633.59,45574.95,45100.61,45436.27,46034.69
2021,3,AT333,Osttirol,EUR2015,19152.67,18976.95,19102.94,19223.22,19111.16,19423.5,19526.1,19653.64,19816.82,20329.25,20947.92,21767.72,22360.41,21805.17,21835.84,20201.63,20958.04,21545.9,22002.64,22766.98,24108.46,24597.09,24740.3,25005.98,25867.36,27439.87,28441.09,28252.49,28464.31,28338.36,29056.18,29008.31,29733.41,30452.6,31282.94,31688.79,31964.87,32671.04,32990.37,32938.88,31489.14,32925.88,36028.75,36117.06,35741.52,36007.52,36481.33
2021,3,AT334,Tiroler Oberland,EUR2015,21710.48,21770.56,22130.75,22522.56,22640.44,23248.42,23635.04,24077.04,24562.93,25483.71,26603.91,27965.84,29091.65,28753.44,29167.91,27353.22,28050.1,28769.17,30252.48,30823.66,32492.24,33268.62,34803.5,36457.04,37388.35,37593.39,38642.79,39588.71,40015.92,39550.96,39369.91,40629.08,41558.39,42306.24,42785.69,44182.32,44738.94,45117.49,47114.83,46270.7,38094.69,32004.36,34628.18,34510.46,34151.07,34405.52,34858.23
