Year;Country;Region_Code;Region_Name;Level;Indicator;Value;Data_Type;Notes
1997;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,3;Actual;
1997;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,3;Actual;
1997;HR;HR065;Zagreba?ka županija;3;KIS Value;29,64;Actual;
1997;RS;RS110;?????????? ??????;3;KIS Value;523,86;Actual;
1997;RS;RS121;???????????? ??????;3;KIS Value;23,54;Actual;
1997;RS;RS122;????????????? ??????;3;KIS Value;39,42;Actual;
1997;RS;RS123;?????????? ??????;3;KIS Value;126,04;Actual;
1997;RS;RS124;??????????????? ??????;3;KIS Value;20,26;Actual;
1997;RS;RS125;???????????? ??????;3;KIS Value;29,06;Actual;
1997;RS;RS126;?????????????? ??????;3;KIS Value;24,56;Actual;
1997;RS;RS127;??????? ??????;3;KIS Value;21,84;Actual;
1997;RS;RS211;??????????? ??????;3;KIS Value;36,5;Actual;
1997;RS;RS212;?????????? ??????;3;KIS Value;22,78;Actual;
1997;RS;RS213;????????? ??????;3;KIS Value;31,98;Actual;
1997;RS;RS214;????????? ??????;3;KIS Value;23,02;Actual;
1997;RS;RS215;?????????? ??????;3;KIS Value;29,24;Actual;
1997;RS;RS216;???????? ??????;3;KIS Value;25,86;Actual;
1997;RS;RS217;????? ??????;3;KIS Value;34,22;Actual;
1997;RS;RS218;?????????? ??????;3;KIS Value;69,12;Actual;
1997;RS;RS221;?????? ??????;3;KIS Value;18,84;Actual;
1997;RS;RS222;??????????? ??????;3;KIS Value;20,84;Actual;
1997;RS;RS223;?????????? ??????;3;KIS Value;23,3;Actual;
1997;RS;RS224;?????????? ??????;3;KIS Value;29,68;Actual;
1997;RS;RS225;???????? ??????;3;KIS Value;57,44;Actual;
1997;RS;RS226;???????? ??????;3;KIS Value;10,58;Actual;
1997;RS;RS227;?????????? ??????;3;KIS Value;27,44;Actual;
1997;RS;RS228;??????? ??????;3;KIS Value;14,14;Actual;
1997;RS;RS229;???????? ??????;3;KIS Value;9,66;Actual;
1997;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,57;Actual;
1997;SI;SI031;Pomurska;3;KIS Value;17,82;Actual;
1997;SI;SI032;Podravska;3;KIS Value;69,96;Actual;
1997;SI;SI033;Koroska;3;KIS Value;12,22;Actual;
1997;SI;SI034;Savinjska;3;KIS Value;45,38;Actual;
1997;SI;SI035;Zasavska;3;KIS Value;8,44;Actual;
1997;SI;SI036;Posavska;3;KIS Value;11,14;Actual;
1997;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;24,1;Actual;
1997;SI;SI038;Primorsko-notranjska;3;KIS Value;9,92;Actual;
1997;SI;SI041;Osrednjeslovenska;3;KIS Value;177,88;Actual;
1997;SI;SI042;Gorenjska;3;KIS Value;32,16;Actual;
1997;SI;SI043;Goriska;3;KIS Value;20,9;Actual;
1997;SI;SI044;Obalno-kraska;3;KIS Value;23,58;Actual;
1998;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;15,9;Actual;
1998;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,7;Actual;
1998;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,28;Actual;
1998;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,16;Actual;
1998;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;48,78;Actual;
1998;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;23,3;Actual;
1998;HR;HR027;Karlova?ka županija;3;KIS Value;21,42;Actual;
1998;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;23,34;Actual;
1998;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;58,2;Actual;
1998;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,12;Actual;
1998;HR;HR033;Zadarska zupanija;3;KIS Value;28,5;Actual;
1998;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17,02;Actual;
1998;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;75,04;Actual;
1998;HR;HR036;Istarska zupanija;3;KIS Value;37,74;Actual;
1998;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,9;Actual;
1998;HR;HR050;Grad Zagreb;3;KIS Value;287,96;Actual;
1998;HR;HR061;Me?imurska županija;3;KIS Value;13,62;Actual;
1998;HR;HR062;Varaždinska županija;3;KIS Value;25,52;Actual;
1998;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,28;Actual;
1998;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,28;Actual;
1998;HR;HR065;Zagreba?ka županija;3;KIS Value;29,58;Actual;
1998;RS;RS110;?????????? ??????;3;KIS Value;526,82;Actual;
1998;RS;RS121;???????????? ??????;3;KIS Value;23,86;Actual;
1998;RS;RS122;????????????? ??????;3;KIS Value;40;Actual;
1998;RS;RS123;?????????? ??????;3;KIS Value;128;Actual;
1998;RS;RS124;??????????????? ??????;3;KIS Value;20,5;Actual;
1998;RS;RS125;???????????? ??????;3;KIS Value;29,38;Actual;
1998;RS;RS126;?????????????? ??????;3;KIS Value;24,86;Actual;
1998;RS;RS127;??????? ??????;3;KIS Value;22,2;Actual;
1998;RS;RS211;??????????? ??????;3;KIS Value;37,24;Actual;
1998;RS;RS212;?????????? ??????;3;KIS Value;23;Actual;
1998;RS;RS213;????????? ??????;3;KIS Value;32,3;Actual;
1998;RS;RS214;????????? ??????;3;KIS Value;23,28;Actual;
1998;RS;RS215;?????????? ??????;3;KIS Value;29,58;Actual;
1998;RS;RS216;???????? ??????;3;KIS Value;26,16;Actual;
1998;RS;RS217;????? ??????;3;KIS Value;34,6;Actual;
1998;RS;RS218;?????????? ??????;3;KIS Value;69,54;Actual;
1998;RS;RS221;?????? ??????;3;KIS Value;19,08;Actual;
1998;RS;RS222;??????????? ??????;3;KIS Value;21,12;Actual;
1998;RS;RS223;?????????? ??????;3;KIS Value;23,56;Actual;
1998;RS;RS224;?????????? ??????;3;KIS Value;29,94;Actual;
1998;RS;RS225;???????? ??????;3;KIS Value;58,14;Actual;
1998;RS;RS226;???????? ??????;3;KIS Value;10,72;Actual;
1998;RS;RS227;?????????? ??????;3;KIS Value;27,72;Actual;
1998;RS;RS228;??????? ??????;3;KIS Value;14,32;Actual;
1998;RS;RS229;???????? ??????;3;KIS Value;9,76;Actual;
1998;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,57;Actual;
1998;SI;SI031;Pomurska;3;KIS Value;18,1;Actual;
1998;SI;SI032;Podravska;3;KIS Value;71,54;Actual;
1998;SI;SI033;Koroska;3;KIS Value;12,42;Actual;
1998;SI;SI034;Savinjska;3;KIS Value;46,18;Actual;
1998;SI;SI035;Zasavska;3;KIS Value;8,58;Actual;
1998;SI;SI036;Posavska;3;KIS Value;11,34;Actual;
1998;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;24,5;Actual;
1998;SI;SI038;Primorsko-notranjska;3;KIS Value;10,08;Actual;
1998;SI;SI041;Osrednjeslovenska;3;KIS Value;182,28;Actual;
1998;SI;SI042;Gorenjska;3;KIS Value;32,8;Actual;
1998;SI;SI043;Goriska;3;KIS Value;21,26;Actual;
1998;SI;SI044;Obalno-kraska;3;KIS Value;24,08;Actual;
1999;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;15,88;Actual;
1999;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,68;Actual;
1999;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,26;Actual;
1999;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,14;Actual;
1999;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;48,74;Actual;
1999;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;23,26;Actual;
1999;HR;HR027;Karlova?ka županija;3;KIS Value;21,4;Actual;
1999;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;23,3;Actual;
1999;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;58,16;Actual;
1999;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,1;Actual;
1999;HR;HR033;Zadarska zupanija;3;KIS Value;28,46;Actual;
1999;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17;Actual;
1999;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;74,98;Actual;
1999;HR;HR036;Istarska zupanija;3;KIS Value;37,7;Actual;
1999;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,88;Actual;
1999;HR;HR050;Grad Zagreb;3;KIS Value;287,8;Actual;
1999;HR;HR061;Me?imurska županija;3;KIS Value;13,6;Actual;
1999;HR;HR062;Varaždinska županija;3;KIS Value;25,48;Actual;
1999;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,26;Actual;
1999;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,26;Actual;
1999;HR;HR065;Zagreba?ka županija;3;KIS Value;29,56;Actual;
1999;RS;RS110;?????????? ??????;3;KIS Value;515,58;Actual;
1999;RS;RS121;???????????? ??????;3;KIS Value;23,08;Actual;
1999;RS;RS122;????????????? ??????;3;KIS Value;38,64;Actual;
1999;RS;RS123;?????????? ??????;3;KIS Value;123,48;Actual;
1999;RS;RS124;??????????????? ??????;3;KIS Value;19,84;Actual;
1999;RS;RS125;???????????? ??????;3;KIS Value;28,48;Actual;
1999;RS;RS126;?????????????? ??????;3;KIS Value;24,08;Actual;
1999;RS;RS127;??????? ??????;3;KIS Value;21,4;Actual;
1999;RS;RS211;??????????? ??????;3;KIS Value;35,64;Actual;
1999;RS;RS212;?????????? ??????;3;KIS Value;22,3;Actual;
1999;RS;RS213;????????? ??????;3;KIS Value;30,76;Actual;
1999;RS;RS214;????????? ??????;3;KIS Value;22,56;Actual;
1999;RS;RS215;?????????? ??????;3;KIS Value;28,64;Actual;
1999;RS;RS216;???????? ??????;3;KIS Value;25,36;Actual;
1999;RS;RS217;????? ??????;3;KIS Value;33,1;Actual;
1999;RS;RS218;?????????? ??????;3;KIS Value;67,72;Actual;
1999;RS;RS221;?????? ??????;3;KIS Value;18,46;Actual;
1999;RS;RS222;??????????? ??????;3;KIS Value;20,42;Actual;
1999;RS;RS223;?????????? ??????;3;KIS Value;22,82;Actual;
1999;RS;RS224;?????????? ??????;3;KIS Value;28,54;Actual;
1999;RS;RS225;???????? ??????;3;KIS Value;56,18;Actual;
1999;RS;RS226;???????? ??????;3;KIS Value;10,36;Actual;
1999;RS;RS227;?????????? ??????;3;KIS Value;26,86;Actual;
1999;RS;RS228;??????? ??????;3;KIS Value;13,88;Actual;
1999;RS;RS229;???????? ??????;3;KIS Value;9,44;Actual;
1999;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,55;Actual;
1999;SI;SI031;Pomurska;3;KIS Value;18,7;Actual;
1999;SI;SI032;Podravska;3;KIS Value;74,4;Actual;
1999;SI;SI033;Koroska;3;KIS Value;12,86;Actual;
1999;SI;SI034;Savinjska;3;KIS Value;47,86;Actual;
1999;SI;SI035;Zasavska;3;KIS Value;8,88;Actual;
1999;SI;SI036;Posavska;3;KIS Value;11,76;Actual;
1999;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;25,36;Actual;
1999;SI;SI038;Primorsko-notranjska;3;KIS Value;10,44;Actual;
1999;SI;SI041;Osrednjeslovenska;3;KIS Value;189,72;Actual;
1999;SI;SI042;Gorenjska;3;KIS Value;34;Actual;
1999;SI;SI043;Goriska;3;KIS Value;22,04;Actual;
1999;SI;SI044;Obalno-kraska;3;KIS Value;24,98;Actual;
2000;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;15,88;Actual;
2000;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,68;Actual;
