TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_gdppc_2000,ln_gdppc_2001,ln_gdppc_2002,ln_gdppc_2003,ln_gdppc_2004,ln_gdppc_2005,ln_gdppc_2006,ln_gdppc_2007,ln_gdppc_2008,ln_gdppc_2009,ln_gdppc_2010,ln_gdppc_2011,ln_gdppc_2012,ln_gdppc_2013,ln_gdppc_2014,ln_gdppc_2015,ln_gdppc_2016,ln_gdppc_2017,ln_gdppc_2018,ln_gdppc_2019,ln_gdppc_2020,ln_gdppc_2021,ln_gdppc_2022
RS215,Поморавска област,2278.1,2507.12,2674.41,2855.5,2687.78,3039.08,2984.75,3261.63,3321.13,3412.01,3322.08,3294.08,3216.01,3133.3,3412.88,3239.38,3261.73,3274.27,3375.56,3731.25,3678.34,4288.93,4709.96,7.7311,7.8269,7.8915,7.957,7.8965,8.0193,8.0013,8.09,8.1081,8.1351,8.1083,8.0999,8.0759,8.0498,8.1353,8.0831,8.09,8.0939,8.1243,8.2245,8.2102,8.3638,8.4574
RS216,Расинска област,2707.51,2552.21,2406.51,2490.97,2553.54,2530.46,2630.44,2849.73,2899.62,2883.04,2922.74,2995.87,2850.71,2844.75,2840.97,3075.23,3136.57,3238.39,3398.9,3687.46,3710.62,4298.1,4696.68,7.9038,7.8447,7.7859,7.8204,7.8452,7.8362,7.8749,7.955,7.9723,7.9666,7.9803,8.005,7.9553,7.9532,7.9519,8.0311,8.0509,8.0828,8.1312,8.2127,8.219,8.3659,8.4546
RS217,Рашка област,1751.44,1825.86,2139.03,2401.15,2391.65,2422.72,2628.7,2620.21,2722.53,2811.77,2705.01,2544.91,2419.34,2530.24,2523.7,2614.42,2652.5,2744.89,2952.65,2920.72,2911.22,3411.8,3669.88,7.4682,7.5098,7.6681,7.7837,7.7797,7.7926,7.8742,7.871,7.9093,7.9416,7.9029,7.8419,7.7913,7.8361,7.8335,7.8688,7.8833,7.9175,7.9905,7.9796,7.9763,8.135,8.2079
RS218,Шумадијска област,2000.89,2032.57,2215.86,2365.7,2485.18,2882.93,2908.28,3236.88,3182.84,3175.42,3169.11,3294.94,3761.81,4249.67,4625.49,4719.23,4643.34,4461.68,4356.73,4618.17,4506.31,4881.5,5277.08,7.6013,7.6171,7.7034,7.7688,7.8181,7.9666,7.9753,8.0824,8.0655,8.0632,8.0612,8.1001,8.2327,8.3546,8.4393,8.4594,8.4432,8.4033,8.3795,8.4378,8.4132,8.4932,8.5711
RS221,Борска област,2523.02,2454.08,2394.33,2624.74,2411.01,2772.57,3065.15,2704.09,2890.25,3214.31,4010.76,4803.26,4715.26,4512.35,4134.49,4042.07,4289.02,4933.81,5386.73,6439.95,7307.94,11015.24,12192.66,7.8332,7.8055,7.7809,7.8727,7.7878,7.9275,8.0279,7.9025,7.9691,8.0754,8.2967,8.4771,8.4586,8.4146,8.3271,8.3045,8.3638,8.5039,8.5917,8.7703,8.8967,9.307,9.4086
RS222,Браничевска област,2554.89,2798.8,3130.96,3239.93,3378.61,3659.77,3558.99,3562.29,3805.07,4171.45,4150.3,3958.45,3759.01,4178.32,4000.68,4085.43,4185.02,4152.52,4720.1,4422.24,4596.47,5000.31,5439.39,7.8458,7.9369,8.0491,8.0833,8.1252,8.2052,8.1772,8.1782,8.2441,8.336,8.3309,8.2836,8.2319,8.3377,8.2942,8.3152,8.3393,8.3315,8.4596,8.3944,8.433,8.5173,8.6014
RS223,Зајечарска област,2263.72,2296.38,2114.85,2340.83,2435.93,2331.31,2226.41,2099.8,2402.95,2374.22,2312.21,2822.33,2619.93,2827.63,3134.03,3127.38,3050.27,2975.46,3170.44,2944.39,3132.73,3651.93,4040.17,7.7248,7.7391,7.6567,7.7583,7.7981,7.7542,7.7081,7.6496,7.7845,7.7724,7.746,7.9453,7.8709,7.9472,8.0501,8.048,8.023,7.9982,8.0616,7.9877,8.0497,8.203,8.304
RS224,Јабланичка област,1942.63,1892.69,2118.1,2187.71,2063.84,1931.0,2287.93,1807.8,1955.62,2021.76,2032.82,2317.39,2228.97,2335.65,2420.72,2492.05,2603.21,2663.22,2657.94,2905.3,2892.95,3344.54,3675.74,7.5718,7.5458,7.6583,7.6906,7.6323,7.5658,7.7354,7.4999,7.5785,7.6117,7.6172,7.7482,7.7093,7.756,7.7918,7.8209,7.8645,7.8873,7.8853,7.9743,7.97,8.1151,8.2095
RS225,Нишавска област,2687.01,2888.97,3024.36,3257.65,3572.48,3794.38,4087.9,3855.15,3992.99,3909.56,3816.44,3349.36,3353.63,3438.29,3550.32,3530.93,3773.43,3921.9,4148.43,4494.16,4240.89,4935.89,5368.69,7.8962,7.9687,8.0145,8.0888,8.181,8.2413,8.3158,8.2572,8.2923,8.2712,8.2471,8.1165,8.1178,8.1427,8.1748,8.1693,8.2357,8.2743,8.3305,8.4105,8.3525,8.5043,8.5883
RS226,Пиротска област,2022.64,2213.33,2132.75,2194.68,2322.35,2510.34,2433.84,2604.38,2704.18,3204.67,3425.67,3665.91,3577.06,4025.71,3983.63,4580.02,4661.0,4760.35,5018.27,4923.54,4554.16,4946.41,5469.27,7.6122,7.7023,7.6652,7.6938,7.7503,7.8282,7.7972,7.8649,7.9026,8.0724,8.1391,8.2068,8.1823,8.3005,8.2899,8.4295,8.447,8.4681,8.5208,8.5018,8.4238,8.5064,8.6069
