TERRITORY_ID,NAME_HTML,UNIT,Year,GDP_Value
SI036,Posavska,Million EUR,2007,1046.62
SI037,Jugovzhodna Slovenija,Million EUR,2007,2388.18
SI038,Primorsko-notranjska,Million EUR,2007,656.87
SI041,Osrednjeslovenska,Million EUR,2007,12585.52
SI042,Gorenjska,Million EUR,2007,2981.37
SI043,Goriska,Million EUR,2007,1978.75
SI044,Obalno-kraska,Million EUR,2007,1962.85
HR021,Bjelovarsko-bilogorska županija,Million EUR,2008,965.5
HR022,Virovitičko-podravska županija,Million EUR,2008,622.7
HR023,Požeško-slavonska županija,Million EUR,2008,563.3
HR024,Brodsko-posavska županija,Million EUR,2008,1042.0
HR025,Osječko-baranjska županija,Million EUR,2008,2861.0
HR026,Vukovarsko-srijemska županija,Million EUR,2008,1285.1
HR027,Karlovačka županija,Million EUR,2008,1141.4
HR028,Sisačko-moslavačka županija,Million EUR,2008,1459.8
HR031,Primorsko-goranska zupanija,Million EUR,2008,4088.78
HR032,Licko-senjska zupanija,Million EUR,2008,495.06
HR033,Zadarska zupanija,Million EUR,2008,1629.37
HR034,Sibensko-kninska zupanija,Million EUR,2008,937.94
HR035,Splitsko-dalmatinska zupanija,Million EUR,2008,4146.84
HR036,Istarska zupanija,Million EUR,2008,2852.13
HR037,Dubrovacko-neretvanska zupanija,Million EUR,2008,1363.62
HR050,Grad Zagreb,Million EUR,2008,15637.4
HR061,Međimurska županija,Million EUR,2008,1038.9
HR062,Varaždinska županija,Million EUR,2008,1652.8
HR063,Koprivničko-križevačka županija,Million EUR,2008,1076.9
HR064,Krapinsko-zagorska županija,Million EUR,2008,981.2
HR065,Zagrebačka županija,Million EUR,2008,2689.5
ME000,Crna Gora,Million EUR,2008,3103.3
MK001,Vardarski,Million EUR,2008,456.35
MK002,Istocen,Million EUR,2008,508.19
MK003,Jugozapaden,Million EUR,2008,581.63
MK004,Jugoistocen,Million EUR,2008,501.18
MK005,Pelagoniski,Million EUR,2008,823.5
MK006,Poloski,Million EUR,2008,528.93
MK007,Severoistocen,Million EUR,2008,372.41
MK008,Skopski,Million EUR,2008,2999.9
RS110,Београдска област,Million EUR,2008,14495.9
RS121,Западнобачка област,Million EUR,2008,768.0
RS122,Јужнобанатска област,Million EUR,2008,1265.4
RS123,Јужнобачка област,Million EUR,2008,3827.5
RS124,Севернобанатска област,Million EUR,2008,636.6
RS125,Севернобачка област,Million EUR,2008,822.5
RS126,Средњобанатска област,Million EUR,2008,904.2
RS127,Сремска област,Million EUR,2008,1245.3
RS211,Златиборска област,Million EUR,2008,919.0
RS212,Колубарска област,Million EUR,2008,576.4
RS213,Мачванска област,Million EUR,2008,923.3
RS214,Моравичка област,Million EUR,2008,939.6
RS215,Поморавска област,Million EUR,2008,764.7
RS216,Расинска област,Million EUR,2008,755.6
RS217,Рашка област,Million EUR,2008,870.6
RS218,Шумадијска област,Million EUR,2008,987.9
RS221,Борска област,Million EUR,2008,400.7
RS222,Браничевска област,Million EUR,2008,758.2
RS223,Зајечарска област,Million EUR,2008,318.0
RS224,Јабланичка област,Million EUR,2008,461.3
RS225,Нишавска област,Million EUR,2008,1591.9
RS226,Пиротска област,Million EUR,2008,275.7
RS227,Подунавска област,Million EUR,2008,475.5
RS228,Пчињска област,Million EUR,2008,507.9
RS229,Топличка област,Million EUR,2008,198.4
